title,duration,imdb_rating,directors,writers,genres,release_date,languages,production_companies,actor,actress
Jinn Chapter 1,00:46:00,7.8,['Hamid Baig'],"['Hamid Baig', 'Fahad Khan']",['Horror'],2024-07-11,['Hindi'],['Currant Noir Studios'],"['Naseeb Akhtar', 'Mohammed Humza Baig', 'Rahat Hussain', 'Sourabh Saini']","['Ayesha Athar', 'Manjari Chaudhary']"
Tauba Tera Jalwa,02:10:00,6.2,['Akashaditya Lama'],['Akashaditya Lama'],"['Romance', 'Thriller']",2024-01-05,['Hindi'],['Altair Media'],"['Ehsan Khan', 'Jahangir Khan', 'Jatin Khurana', 'Shashank Prajapati', 'Anil Rastogi', 'Rajesh Sharma', 'Neeraj Sood', 'Vevek Upadyay']","['Angela Krislinzki', 'Ameesha Patel']"
Fire of Love: RED,02:10:00,3.8,['Ashok Tyagi'],['Ashok Tyagi'],['Thriller'],2024-01-05,['Hindi'],['Avanti Prajakta Arts'],"['Bharat Dabholkar', 'Krushna Abhishek', 'Shantanu Bhamare', 'Kamlesh Sawant', 'Arun Bakshi', 'Shashi Sharma', 'Mukesh Tyagi', 'Abhijeet Shwetchandra']","['Payal Ghosh', 'Kanchan Bhor', 'Simran Ahuja', 'Neelu Chopra']"
Saar the Conclusion,01:31:00,7.9,['Danish Ali'],"['Kamleshwar', 'Sanjay Kumar']",['Drama'],2024-01-05,['Hindi'],"['Kavyanjali Films', 'Mishika Films']","['Kapil Sharma', 'Kamleshwar', 'Manoj Chauhan', 'Abhishek Gupta', 'Shubham Gupta', 'Vibhu Kashyap', 'Kailash Khandelwal', 'Vikas Sharma', 'Yashan Singh']","['Monika Choudhary', 'Rupali Pallavi', 'Priyanshi Soman', 'Ritu Choudhary', 'Nishika Singh', 'Pakhi Singh']"
Merry Christmas,02:24:00,6.9,['Sriram Raghavan'],"['Frédéric Dard', 'Sriram Raghavan', 'Arijit Biswas']","['Drama', 'Mystery', 'Thriller']",2024-01-12,"['Hindi', 'Tamil']","['Matchbox Pictures', 'Tips Films']","['Vijay Sethupathi', 'Vinay Pathak', 'Sanjay Kapoor', 'Luke Kenny', 'Sahil Vaid', 'Hemant K Gaur', 'Anil Dadheech', 'Prashant Parab', 'Abhishek Shukla', 'Pratik Nandkumar More']","['Katrina Kaif', 'Pari Sharma', 'Gayathrie', 'Ashwini Kalsekar', 'Radhika Apte']"
Main Atal Hoon,02:19:00,6.9,"['Ravi Jadhav', 'Javed Karim']","['Ravi Jadhav', 'Utkarsh Naithani', 'Rishi Virmani']","['Biography', 'Drama']",2024-01-19,['Hindi'],"['Bhanushali Studios Limited', 'Legend Studios']","['Mahmood Hashmi', 'Pankaj Tripathi', 'Benedict Garrett', 'Harshal Gire', 'Rajesh Dubeay', 'Harshad Kumar', 'Krishna Saajnani', 'Lovekkush Kundu', 'Anil Jhamajham', 'Ranjeet Khanna', 'Piyush Mishra', 'Prashant Mishra', 'Salim Husen Mulla', 'Avanish Pandey']","['Madhu Singh', 'Sarah Killedar', 'Paula McGlynn', 'Payal Nair']"
Six-Nine-Five,02:17:00,6.9,"['Rajneesh Berry', 'Yogesh Bhardwaj']","['Aadesh K. Arjun', 'Yogesh Bhardwaj', 'Shyam Chawla']","['Adventure', 'History']",2024-01-19,['Hindi'],['Shadani Films'],"['Aalaap Tyagi', 'Gajendra Chauhan', 'Rakesh Dube', 'Raakeshh Dubey', 'Rakesh Dubey', 'Shailendra Gaur', 'Arun Govil', 'Manoj Joshi', 'Suunil R Kumar', 'Akhilendra Mishra', 'Raja Misshra', 'Govind Namdeo', 'Ashok Samarth', 'Gauri Shankar', 'Prashant Shyam Sri', 'Abhay Dheeraj Singh', 'Mukesh Tiwari']",['Garima Agarwal']
Fighter,02:46:00,6.2,['Siddharth Anand'],"['Siddharth Anand', 'Ramon Chibb', 'Abbas Dalal']","['Action Epic', 'Action', 'Drama']",2024-01-25,"['Hindi', 'English']","['Betterfly Films', 'Manomay Motion Pictures', 'Marlix Pictures']","['Hrithik Roshan', 'Anil Kapoor', 'Karan Singh Grover', 'Akshay Oberoi', 'Ramon Chibb', 'Ashutosh Rana', 'Sanjiv Chopra', 'Talat Aziz', 'Sharib Hashmi', 'Vinay Varma']","['Deepika Padukone', 'Seerat Mast', 'Aditi Sandhya Sharma', 'Banveen Singh']"
Game Over,01:14:00,5.3,['Ashish Deo'],['Ashish Deo'],['Crime'],2024-01-25,['Hindi'],['Trisha Studios'],"['Sachin Danai', 'Basant Kumar', 'Sagar Pabale']",['Jinal Joshi']
Ajab Gajab Dhamal,02:21:00,5.2,['Smeep Kang'],[],['Comedy'],2024-01-26,['Hindi'],['Gakhal Group Production'],"['Jaswinder Bhalla', 'Sunil Grover', 'Jimmy Shergill', 'Vakil Singh']",[]
Zehan,01:53:00,4.9,['Dhirendra M. Dimri'],"['Vasant Kashyap Jha', 'Abhishek Shashi Kumar']","['Romance', 'Thriller']",2024-02-02,['Hindi'],['Stuti Production'],"['Arya Babbar', 'Nikhil Chaudhary', 'Jeet Raidutt', 'Vikas Shrivastav']","['Nidhi Nautiyal', 'Surbhi Mahendru', 'Sumisha Shankar', 'Lovely Sharma']"
Bhakshak,02:14:00,7.2,['Pulkit'],"['Jyotsana Nath', 'Pulkit']","['Crime', 'Drama']",2024-02-09,['Hindi'],['Red Chillies Entertainment'],"['Sanjay Mishra', 'Aditya Srivastav', 'Chittaranjan Tripathy', 'Durgesh Kumar', 'Satyakam Anand', 'Pravin Kumar Sisodia', 'Murari Kumar', 'Shakti Kumar', 'Danish Iqbal']","['Bhumi Pednekar', 'Sai Tamhankar', 'Tanisha Mehta', 'Samta Sudiksha', 'Gulista Alija', 'Pubali Sanyal', 'Farheen Khan']"
Teri Baaton Mein Aisa Uljha Jiya,02:21:00,6.2,"['Amit Joshi', 'Aradhana Sah']","['Amit Joshi', 'Aradhana Sah']","['Comedy', 'Drama', 'Romance', 'Sci-Fi']",2024-02-09,['Hindi'],"['Jio Studios', 'Maddock Films']","['Shahid Kapoor', 'Dharmendra', 'Rakesh Bedi', 'Rajesh Kumar', 'Ashish Verma', 'Brij Bhushan Shukla', 'Shaunak Duggal', 'Chitransh Raj', 'Abhishek Gaikwad']","['Kriti Sanon', 'Anubha Fatehpuria', 'Grusha Kapoor', 'Maahi Jain', 'Janhvi Kapoor', 'Snehal Shidham', 'Shivani Sopori']"
Lantrani,01:39:00,5.0,"['Kaushik Ganguly', 'Bhaskar Hazarika', 'Gurvinder Singh']",['Durgesh Singh'],"['Comedy', 'Drama']",2024-02-09,['Hindi'],"['Neeljai Films', 'Neeljai Films']","['Rajesh Awasthi', 'Boloram Das', 'Jitendra Kumar', 'Johny Lever', 'Kevin Lisy', 'Sanjay Mahanand', 'Jisshu Sengupta']",['Nimisha Sajayan']
Mirg,01:23:00,6.3,['Tarun Sharma'],['Tarun Sharma'],"['Action', 'Comedy', 'Drama']",2024-02-09,['Hindi'],"['Na Ma Productions', 'One Shot Films', 'Studio RA']","['Raj Babbar', 'Satish Kaushik', 'Shwetaabh Singh', 'Anup Soni']",['Suhani Popli']
The Fable,01:59:00,7.5,['Raam Reddy'],['Raam Reddy'],['Drama'],2024-10-20,"['Hindi', 'English']","['Maxmedia', 'Prspctvs Productions', 'Sikhya Entertainment']","['Manoj Bajpayee', 'Ravi Bisht', 'Deepak Dobriyal', 'Awan Pookot', 'Viking']","['Priyanka Bose', 'Hiral Sidhu']"
Aakhir Palaayan Kab Tak,01:48:00,6.4,['Mukul Vikram'],['Mukul Vikram'],['Drama'],2024-02-16,['Hindi'],"['Maa Chunki Devi Productions', 'Trisha Studios']","['Bhushan Patiyal', 'Rajesh Sharma', 'Chittaranjan Giri', 'Gaurav M Sharma', 'Dheerendra Dwivedi', 'Saurabh Agnihotri', 'Brijesh Karanwal', 'Avinash Kumar', 'Akshit Chauhan', 'Mahendra Shrivas', 'Ravi Dutt Kaushik', 'Arjun Thakur', 'Sushil Yadav', 'Tilakraj Singh']",['Sohani Kumari']
Kuch Khattaa Ho Jaay,02:05:00,5.6,['Ashok G.'],"['Raj Saluja', 'Niket Pandey', 'Vijay Pal Singh']",['Comedy'],2024-02-16,['Hindi'],['Mach Films'],"['Brahmanandam', 'Paresh Ganatra', 'Abhinandan Jindal', 'Anupam Kher', 'Guru Randhawa', 'Atul Srivastava', 'Paritosh Tripathi']","['Ila Arun', 'Kavita Srivastava', 'Ambika Vani']"
Scammy Boys,01:44:00,4.2,['Shoib Nikash Shah'],"['Ujjwal Jain', 'Pankaj Kanta', 'Rahhat Shah Kazmi']",['Thriller'],2024-02-16,['Hindi'],['Rahat Kazmi Film Studios'],"['Hussein Khan', 'Ashmit Patel', 'Rajeev Rana', 'Ayushmaan Saxena', 'Shoib Nikash Shah', 'Rudra Soni']",['Rupa Chaulagain']
Imamdasta,02:23:00,7.6,['Rizwan Siddiqui'],['Rizwan Siddiqui'],['Drama'],2024-02-16,['Hindi'],['Noorjahan Moving Images'],"['Rakesh Sharma', 'Mahesh Chandra Deva', 'Jay Shanker Pandey', 'Raju Pandey', 'Abhijit Sarkar', 'Sahaarsh Shuklaa', 'Kapil Tilhari', 'Sandeep Yadav']",[]
In the Belly of a Tiger,01:31:00,7.8,['Jatla Siddartha'],"['Amanda Mooney', 'Jatla Siddartha']","['Drama', 'Horror']",2024-02-18,['Hindi'],"['Jeevi FIlms', 'Bhairavi Films', 'Wonder Pictures']","['Sorabh Jaiswar', 'Francis Lawrence']","['Pooja Pallavi', 'Roselynn Raj', 'Poonam Tiwari']"
Article 370,02:38:00,7.8,['Aditya Suhas Jambhale'],"['Aditya Dhar', 'Monal Thaakar', 'Aditya Suhas Jambhale']","['Political Drama', 'Political Thriller', 'Action', 'Drama', 'Thriller']",2024-02-23,['Hindi'],"['B62 Studios', 'Jio Studios']","['Vaibhav Tatwawadi', 'Mohan Agashe', 'Hitesh Aggarwal', 'Raj Arjun', 'Sandeep Chatterjee', 'Praveen Gadkar', 'Kumar Kanchan Ghosh', 'Arun Govil', 'Sumit Kaul', 'Shivam Khajuria', 'Midhat Khan']","['Yami Gautam', 'Priyamani', 'Sukhita Aiyar', 'Iravati Harshe', 'Kiran Karmarkar', 'Janya Khandpur', 'Ashwini Koul']"
CRAKK: Jeetegaa Toh Jiyegaa,02:34:00,4.7,['Aditya Datt'],"['Aditya Datt', 'Rehan Khan', 'Sarim Momin']","['Extreme Sport', 'Action', 'Sport', 'Thriller']",2024-02-23,['Hindi'],"['Action Hero Films', 'PZ Pictures']","['Vidyut Jammwal', 'Arjun Rampal', 'Ankit Mohan', 'Bijay Anand', 'Rajendra Shisatkar', 'Shalaka Pawar', 'Michael Owusu', 'MC Square', 'Insane Ashraf', 'Tomasz Drankowski', 'Dominic Knight', 'Aarash Shah']","['Nora Fatehi', 'Amy Jackson', 'Jamie Lever', 'Pooja Sawant', 'Rukmini Maitra']"
Operation Valentine,02:13:00,5.3,['Shakti Pratap Singh'],"['Sai Madhav Burra', 'Aamir Nahid Khan', 'Siddharth Raj Kumar']","['Action', 'Drama', 'Thriller']",2024-03-01,"['Hindi', 'Telugu']","['Annapurna Studios', 'Renaissance Pictures', 'SP International Pictures (SPIP)']","['Varun Tej', 'Paresh Pahuja', 'Mir Sarwar', 'Shataf Figar', 'Sampath Raj', 'Navdeep', 'Ashwath Bhatt', 'Vaibhav Tatwawadi', 'Ali Reza', 'Anish Kuruvilla', 'Srikanth Iyengar', 'Sameer Hasan', 'Abhinav Gomatam', 'Sundip Ved', 'Gurpal Singh']","['Manushi Chhillar', 'Ruhani Sharma', 'Madhu Nambiar']"
Kaagaz 2,02:05:00,5.9,"['V.K. Prakash', 'Jay Dev Banerjee']","['Suman Ankur', 'Khandelwal Shashank']",['Drama'],2024-03-01,['Hindi'],"['The Sathish Kaushik Entertainment', 'Venus Films']","['Anupam Kher', 'Darshan Kumaar', 'Satish Kaushik', 'Anang Desai', 'Shahid Bobby Husain', 'Ankur Suman', 'Kapil Tilhari', 'Aniruddh Dave', 'Krishiv Agarwal', 'Arshad Ali', 'Vishal Anand', 'Anshul', 'Mohd Asif', 'Mohit Bhatia']","['Neena Gupta', 'Smriti Kalra', 'Kiran Kumar']"
Dange,02:34:00,5.3,['Bejoy Nambiar'],"['Neil Julian Balthazar', 'Mithila Hegde', 'Bejoy Nambiar']","['Action', 'Drama']",2024-03-01,['Hindi'],"['Getaway Pictures Presentation', 'T-Series Films']","['Harshvardhan Rane', 'Ehan Bhat', 'T.J. Bhanu', 'Nakul Roshan Sahdev', 'Insane Ashraf', 'Mridul Das', 'Keshav Lokwani', 'Athul Prabhakaran', 'Pratham Rathod', 'Kabir Shah', 'Jeeva Subramanian']","['Nikita Dutta', 'Taniya Kalrra', 'Paavani Atrey', 'Omna Harjani', 'Kratika Pancholi']"
Shaitaan,02:12:00,6.5,['Vikas Bahl'],"['Aamil Keeyan Khan', 'Krishnadev Yagnik']","['Psychological Drama', 'Psychological Horror', 'Psychological Thriller', 'Supernatural Horror', 'Drama', 'Horror', 'Thriller']",2024-03-08,['Hindi'],"['Jio Studios', 'Ajay Devgn Ffilms', 'Panorama Studios']","['Ajay Devgn', 'Madhavan', 'Anngad Raaj', 'Ashish Gokhale', 'Vikash Kawa', 'Akram Musharaf', 'Divyansh Anandani', 'Abhishek Arun']","['Janki Bodiwala', 'Madhurima Ghosh', 'Monica Nash', 'Farina Nizam', 'Anjali Sardana', 'Sweta Gupta', 'Ankita Sharma', 'Raziya Sultana']"
Until I Fly,01:30:00,7.3,[],[],['Documentary'],2024-03-10,['Hindi'],"['Al Jazeera Documentary Channel', 'BBC Storyville', 'Elda Productions']",[],[]
Yodha,02:10:00,5.7,"['Sagar Ambre', 'Pushkar Ojha']",['Sagar Ambre'],"['One-Person Army Action', 'Action', 'Drama', 'Thriller']",2024-03-15,['Hindi'],"['Amazon Prime Video', 'Dharma Productions', 'Mentor Disciple Films']","['Sidharth Malhotra', 'Mridul Raj Anand', 'Bhuvan Chopra', 'Pawan Chopra', 'Rahuul Chwudhary', 'Kenneth Desai', 'Sadiq Farooqui', 'Prashanth Goswami', 'Sanjay Gurbaxani', 'Sunny Hinduja', 'Hariom Kalra', 'Pankaj Kalra', 'Vikram Kapadia', 'Abhishek Mishra']","['Raashi Khanna', 'Disha Patani', 'Kritika Bharadwaj', 'Shivangi Bhardwaj']"
Murder Mubarak,02:20:00,5.8,['Homi Adajania'],"['Anuja Chauhan', 'Gazal Dhaliwal', 'Suprotim Sengupta']","['Whodunnit', 'Comedy', 'Mystery', 'Romance']",2024-03-15,['Hindi'],['Maddock Films'],"['Pankaj Tripathi', 'Vijay Varma', 'Sanjay Kapoor', 'Suhail Nayyar', 'Aashim Gulati', 'Priyank Tiwari', 'Brijendra Kala', 'Deven Bhojani', 'Varun Mitra', 'Purnendu Bhattacharya', 'Alok Panwar']","['Sara Ali Khan', 'Karisma Kapoor', 'Tara-Alisha Berry', 'Grusha Kapoor', 'Padmini Sardesai']"
Bastar,02:04:00,6.4,"['Sudipto Sen', 'Vipul Amrutlal Shah']","['Amarnath Jha', 'Sudipto Sen', 'Vipul Amrutlal Shah']","['Action', 'Crime', 'Drama']",2024-03-15,['Hindi'],"['A Vipul Amrutlal Shah Production', 'Last Monk media', 'Sunshine Pictures']","['Shah Zain Alam', 'Purnendu Bhattacharya', 'Sanjay Borkar', 'Vikrant Chaturvedi', 'Vatsa Chug', 'Rahuul Chwudhary', 'Bhupendra Singh Deol', 'Subrat Dutta', 'Abhikalp Gagdekar', 'Sumit Gahlawat', 'Sameer Gulzar', 'Naman Jain']","['Adah Sharma', 'Anangsha Biswas', 'Sukanya Dhanda', 'Gandhali Jain']"
Ae Watan Mere Watan,02:13:00,4.7,['Kannan Iyer'],"['Darab Farooqui', 'Kannan Iyer']","['Biography', 'Drama', 'History']",2024-03-21,['Hindi'],['Dharmatic Entertainment'],"[""Alexx O'Nell"", 'Emraan Hashmi', 'Abhay Verma', 'Anand Tiwari', 'Pratik Yadav', 'Ashton Bessette', 'Annuup Choudhari', 'Benedict Garrett', 'Siddharth Gollapudi', 'Sachin Khedekar', 'Richard Bhakti Klein', 'Godaan Kumar', 'Garrvil Mohan', 'Ed Robinson', 'Sparsh Shrivastava']","['Sara Ali Khan', 'Priyanam Das', 'Manya Singh']"
Madgaon Express,02:23:00,7.0,['Kunal Kemmu'],['Kunal Kemmu'],"['Comedy', 'Drama']",2024-03-22,['Hindi'],['Excel Entertainment'],"['Divyendu Sharma', 'Pratik Gandhi', 'Avinash Tiwary', 'Upendra Limaye', 'Raviraj Kande', 'Vipul Deshpande', 'Umesh Jagtap', 'Kunal Kemmu', 'Yash Bhojwani', 'Aaryan Prajapati', 'Sameer Patlil', 'Shiv Narayan']","['Nora Fatehi', 'Chhaya Kadam', 'Alpana Buch', 'Sonali Desai']"
The Crew,01:58:00,5.8,['Rajesh A Krishnan'],"['Nidhi Mehra', 'Mehul Suri']","['Comedy', 'Drama']",2024-03-29,['Hindi'],"['Anil Kapoor Film Company', 'Balaji Films']","['Diljit Dosanjh', 'Kapil Sharma', 'Saswata Chatterjee', 'Rajesh Sharma', 'Garima Yajnik', 'Kulbhushan Kharbanda', 'Ramakant Dayma', 'Shivam Khanna', 'Mohit Gupta', 'Ivan Rodrigues']","['Tabu', 'Kareena Kapoor', 'Kriti Sanon', 'Trupti Khamkar', 'Charu Shankar', 'Heital Puniwala', 'Pooja Bhamrrah', 'Maeha Sharma']"
Swatantra Veer Savarkar,02:56:00,7.7,['Randeep Hooda'],"['Randeep Hooda', 'Utkarsh Naithani']","['Docudrama', 'Biography', 'Drama']",2024-03-22,"['Hindi', 'Marathi']","['Anand Pandit Motion Pictures', 'Avak Films', 'Legend Global Studio']","['Randeep Hooda', 'Apinderdeep Singh', 'Amit Sial', 'Mark Bennington', 'Russell Geoffrey Banks', 'David Michael Harrison', 'Chetan Swaroop Tirdia', 'Richard Bhakti Klein', 'Biswarup Mondal', 'Ed Robinson', 'Krishna Bhatt', 'Sal Yusuf']","['Ankita Lokhande', 'Emily R. Acland', 'Carl A. Harte', 'Hella Stichlmair']"
Welcome Wedding,02:00:00,5.2,['Aanand Raut'],['Sachindra Sharma'],['Comedy'],2024-03-29,['Hindi'],['Vikash Film International'],"['Rajpal Naurang Yadav', 'Raju Kher', 'Arun Bakshi', 'Sahil Kohli', 'Milind Prasad', 'Jay Mishra', 'Rohit Raj', 'Rajesh Singh', 'Darshan Jariwala', 'Kishan Bhan']","['Rakhi Sawant', 'Komal Jha', 'Farida Dadi', 'Manisha Kumari', 'Prakashika Naik', 'Riyana Shukla', 'Preeti Mishra']"
Patna Shukla,02:05:00,5.6,"['Vivek Budakoti', 'Rajendra Tiwari']","['Sameer Arora', 'Vivek Budakoti']","['Legal Drama', 'Drama']",2024-03-29,['Hindi'],['Zeal Z Entertainment services'],"['Manav Vij', 'Satish Kaushik', 'Raju Kher', 'Jatin Goswami', 'Dayashankar Pandey', 'Ambrish Saxena', 'Ishan Saxena']","['Anushka Kaushik', 'Rio Kapadia', 'Palak Jain', 'Sushmita Mukherjee', 'Nandini Ratley', 'Rajshree Thakkar']"
Bengal 1947,02:09:00,6.9,['Akashaditya Lama'],['Akashaditya Lama'],['Drama'],2024-03-29,['Hindi'],"['Comfed Productions', 'Think Tank Global']","['Ankur Armam', 'Harish Bhimani', 'Rajesh Bonik', 'Yogendra Choubey', 'Atul Gangwar', 'Aditya Lakhia', 'Pramod Pawar', 'Anil Rastogi', 'Vikram TDR', 'Vevek Upadyay']","['Devoleena Bhattacharjee', 'Pooja Kankate', 'Sohaila Kapur', 'Falaq Rahi', 'Surabhi Krishna Srivastava']"
Dukaan,02:02:00,7.6,"['Siddharth Singh', 'Garima Wahal']","['Siddharth Singh', 'Garima Wahal']",['Drama'],2024-04-05,"['Hindi', 'English', 'Gujarati']","['Kalamkaar Picture Productions', 'Waveband Productions']","['Insane Ashraf', 'Vrajesh Hirjee', 'Sikandar Kher', 'Piyush Kumar', 'Soham Majumdar', 'Hridansh Parekh', 'Romanch Soni', 'Bilal Özel']","['Monika Panwar', 'Bhoomika Meena', 'Shreya Sharma', 'Monali Thakur', 'Anannya Vaidya']"
Ek Kori Prem Katha,02:09:00,6.4,['Cchinmay P Purohit'],"['Nishant Bhardwaj', 'Arvind Chaudhary', 'Gayatri Manish']",['Drama'],2024-04-05,['Hindi'],['Kenilworth Film Productions'],"['Akshay Oberoi', 'Raj Babbar', 'Darshan Jariwala', 'Ashutosh Kushwaha', 'Murali Mali', 'Mukesh S. Bhatt', 'Bharat Jha', 'Alok Pandey']","['Khanak Budhiraja', 'Poonam Dhillon', 'Gwen Hussein', 'Sarah Lockett', 'Richa Amberr', 'Jiya Bharti', 'Mamta']"
One Last Time,01:22:00,7.0,['Mohinder Pratap Singh'],['Mohinder Pratap Singh'],['Crime'],2024-04-07,['Hindi'],['Mandaliwala Films'],"['Boloram Das', 'Amitosh Nagpal', 'K.J. Singh']","['Gita Guha', 'Bhawsheel Singh Sahni', 'Poornanand Wandhekar']"
Bade Miyan Chote Miyan,02:43:00,3.8,['Ali Abbas Zafar'],"['Aditya Basu', 'Vashu Bhagnani', 'Suraj Gianani']","['Action Epic', 'Artificial Intelligence', 'Globetrotting Adventure', 'Action', 'Adventure', 'Sci-Fi', 'Thriller']",2024-04-11,['Hindi'],"['AAZ Films', 'Pooja Entertainment & Films']","['Akshay Kumar', 'Prithviraj Sukumaran', 'Tiger Shroff', 'Sonakshi Sinha', 'Ronit Roy', 'Bijay Anand', 'Shahab Ali', 'Zina Esepciuc', 'Manish Chaudhari', 'Tahirr Aashhraf', 'James Matheson', 'Pawan Chopra']","['Alaya F', 'Manushi Chhillar', 'Yasmine Alice', 'Deshna Dugad', 'Diya Jandu', 'Bijou Thaangjam']"
Maidaan,03:01:00,8.0,['Amit Ravindernath Sharma'],"['Akash Chawla', 'Sidhant Mago', 'Saiwyn Quadras']","['Docudrama', 'Period Drama', 'Soccer', 'Biography', 'Drama', 'History', 'Sport']",2024-04-10,['Hindi'],"['Bayview Projects', 'FreshLime Films', 'Zee Studios']","['Ajay Devgn', 'Gajraj Rao', 'Rudranil Ghosh', 'Baharul Islam', 'Maxx Taylor', 'Toplica Milan Dunjic', 'Amartya Ray', 'Raphael Jose', 'Sammy Jonas Heaney', 'Peter Daniel Adams', 'Arnob Khan Akib', 'Insane Ashraf']","['Priyamani', 'Devyansh Tapuriah', 'Nitanshi Goel', 'Meena Patel', 'Shivangi Bhardwaj']"
Silence 2,02:22:00,6.2,['Aban Bharucha Deohans'],['Aban Bharucha Deohans'],"['Crime', 'Drama', 'Thriller']",2024-04-16,['Hindi'],"['Candid Creations', 'Zee Studios']","['Manoj Bajpayee', 'Dinker Sharma', 'Sahil Vaid', 'Ankit Bhardwaj', 'Vaquar Shaikh', 'Chetan Sharma', 'Padam Bhola', 'Surendra Kumar Bajiya', 'Akshay Dandekar', 'Ankit Sharma']","['Parul Gulati', 'Prachi Desai', 'Shruti Bapna', 'Maahi Jain', 'Ishika Gagneja', 'Sujata Mogal', 'Nidhi Punmiya', 'Khushbu Patariya']"
Do Aur Do Pyaar,02:20:00,6.6,['Shirsha Guha Thakurta'],"['Amrita Bagchi', 'Eisha Chopra', 'Suprotim Sengupta']","['Comedy', 'Drama', 'Romance']",2024-04-19,['Hindi'],"['Applause Entertainment Ltd.', 'Ellipsis Entertainment', 'Post Cartel']","['Pratik Gandhi', 'Sendhil Ramamurthy', 'Thalaivasal Vijay', 'Kumaradas T N', 'S Subrahmoniam', 'Akshay Bhagat', 'Nambi. P', 'Arun Ajikumar', 'K. Rajan']","['Vidya Balan', ""Ileana D'Cruz"", 'Rekha Kudligi', 'Hitha Chandrashekar', 'Dipika Pandey', 'Sheeja Shetty', 'Kamala']"
