title,duration,imdb_rating,directors,writers,genres,release_date,languages,production_companies,actor,actress
Mr. & Mrs. Mahi,02:19:00,5.9,['Sharan Sharma'],"['Nikhil Mehrotra', 'Sharan Sharma']","['Drama', 'Sport']",2024-05-31,['Hindi'],"['Dharma Productions', 'Light n Light', 'Zee Studios']","['Rajkummar Rao', 'Rajesh Sharma', 'Kumud Mishra', 'Purnendu Bhattacharya', 'Arjit Taneja', 'Naman Arora', 'Krishan Bhargav', 'Abhilash Chaudhary', 'Nirmal Chiraniyan', 'Arpan Das', 'Himanshu Jaykar', 'Siddhant Khanna', 'Kundan Kumar']","['Janhvi Kapoor', 'Zarina Wahab', 'Yamini Das', 'Heet Gandhi', 'Pooja Joshi']"
Demons,01:35:00,7.3,['Rohit Mittal'],['Rohit Mittal'],['Drama'],2024-04-19,['Hindi'],['Humara Movie'],"['Narottam Bain', 'Sanjay Bishnoi', 'Vinay Sharma']",['Swati Semwal']
"LSD 2: Love, Sex Aur Dhokha 2",01:59:00,3.8,['Dibakar Banerjee'],"['Dibakar Banerjee', 'Shubham', 'Prateek Vats']","['Comedy', 'Crime', 'Drama', 'Romance']",2024-04-19,['Hindi'],"['Balaji Telefilms', 'Cult Movies']","['Paritosh Tiwari', 'Abhinav Singh', 'Rahul Raj Chenichery', 'Hardeep Gupta', 'Anupam Joardar', 'Tusshar Kapoor', 'Aashu Kumar', 'Piyush Kumar', 'Anu Malik']","['Bonita Rajpurohit', 'Swastika Mukherjee', 'Sophiya Chaudhary', 'Shivani Dubey', 'Swaroopa Ghosh', 'Tanvika Parlikar', 'Mouni Roy']"
Ameena,01:47:00,6.2,['Kumar Raj'],"['Aftab Hasnain', 'Kishan Kumar Pawar']","['Action', 'Drama', 'Thriller']",2024-01-01,['Hindi'],['Kumar Raj Productions'],"['Ananth Mahadevan', 'Kumar Raj', 'Kishan Kumar Pawar', 'Nayan Pawar', 'Ranjeet Jaiswal', 'Shivraj Vora', 'Kamal Adib']","['Rekha Rana', 'Manu Malkani', 'Aarti Vazirani', 'Sunita Balani', 'Pranali Bondikar', 'Reshma Chawla', 'Sunita D.', 'Rupali Ganguly', 'Abeer Goel']"
Kaam Chalu Hai,01:22:00,7.2,['Palaash Muchhal'],['Palaash Muchhal'],['Drama'],2024-04-19,['Hindi'],"['Baseline Studios', 'Pal Music & Films']","['Karan Ashok Awale', 'Swapnil Kamble', 'Namdev Kamlakar', 'Akshay Kamle', 'Ajit Mehta', 'Meghali Nargachhe', 'Rajpal Naurang Yadav', 'Shreyash Pandit', 'Akshay Patil', 'Nalavade Prathmesh', 'Param D Walia']","['Giaa Manek', 'Saniya Musawar', 'Piya Prasad', 'Rajshree Shah']"
Luv You Shankar,02:00:00,6.0,['Rajiv S. Ruia'],"['Sanjay Masoom', 'Ravindra Ram Patil']",['Animation'],2024-04-19,['Hindi'],"['Jumping Tomato Marketing Pvt. Ltd.', 'SD World Film Production']","['Arun Behl', 'Krishna Chaubey', 'Kurush Deboo', 'Prateek Jain', 'Sanjay Mishra', 'Hemant Pandey', 'Abhimanyu Singh', 'Shreyas Talpade']","['Mann Gandhi', 'Elakshi A Gupta', 'Tanishaa Mukerji']"
Ruslaan,02:00:00,3.4,['Karan Lalit Butani'],"['Kavin Dave', 'Yunus Sajawal', 'Shiva']","['Action', 'Thriller']",2024-04-26,['Hindi'],"['Filming Azerbaijan', 'Sri Sathya Sai Arts']","['Aayush Sharma', 'Jagapathi Babu', 'Sal Yusuf', 'Sangay Tsheltrim', 'Manish Gaharwar', 'Zaheer Iqbal', 'Aman Kanojia', 'Rofique Khan', 'Richard Bhakti Klein', 'Eiji Mihara', 'Runav Shah']","['Sushrii Mishraa', 'Vidya Malvade', 'Beena Banerjee', 'Aruna Beniwal']"
Farming the Revolution,01:42:00,7.7,[],"['Nishtha Jain', 'Deborah Matzner', 'Valérie Montmartin']",['Documentary'],2024-07-26,"['Hindi', 'Punjabi']","['Little Big Story', 'Raintree Films', 'Piraya Film']",[],[]
Motu Patlu & the Race to the Diamond Valley,01:12:00,7.7,[],['Niraj Vikram'],"['Animation', 'Comedy']",2024-05-01,['Hindi'],['Maya Digital Studios'],[],[]
Sri,02:14:00,7.4,['Tushar Hiranandani'],"['K K Binojee', 'Sumit Purohit', 'Jagdeep Sidhu']","['Biography', 'Drama']",2024-05-10,['Hindi'],"['Alphaneon Studioz', 'Chalk and Cheese Films', 'T-Series Films']","['Rajkummar Rao', 'Sharad Kelkar', 'Om Kanojiya', 'Chittavasu Prakash', 'Bharat Jadhav', 'Aakash Jaiswal', 'Suraj Kalyankar', 'Aman Kanojia', 'Steve Larter', 'Deepak Mahato', 'Arun Malik', 'Ganesh Mayekar', 'Sridhar Murthy']","['Alaya F', 'Sukhita Aiyar']"
Raseeli Raatein,01:31:00,6.4,['Raifee'],[],['Romance'],2024-05-17,['Hindi'],[],"['Vickey Chauhan', 'Sushant Kandya', 'Gautam Kataria', 'Maan Singh Meena', 'Anurag Mishra', 'Lucky Saini', 'Sunny Saini']","['Navina Bole', 'Prachi Lengare', 'Leena Singh']"
Kartam Bhugtam,02:11:00,6.5,['Soham Shah'],['Soham Shah'],['Thriller'],2024-05-17,['Hindi'],['Gandhar Films and Studio'],"['Shreyas Talpade', 'Vijay Raaz', 'Aakash Amlani', 'Gaurav Daagar', 'Kamlesh Khare', 'Ajay Pal', 'Deepak Parihar', 'Atharva Sawant', 'Rohann Sharma', 'Sachindra Shrivastav', 'Rahul Tiwari', 'Chandrakant Upadhyay']","['Madhoo', 'Aksha Pardasany', 'Asha Bisariya', 'Ishita Trivedi']"
In Retreat,01:16:00,4.3,['Maisam Ali'],['Maisam Ali'],['Drama'],2024-10-22,"['Hindi', 'Ladakhi']","['Barycenter Films', 'Varsha Production House']",['Harish Khanna'],[]
Bhaiyya Ji,02:30:00,4.8,['Apoorv Singh Karki'],"['Apoorv Singh Karki', 'Deepak Kingrani']","['Action', 'Drama']",2024-05-24,['Hindi'],"['Aurega Studios', 'Bhanushali Studios Limited', 'SSO Productions']","['Manoj Bajpayee', 'Vipin Sharma', 'Suvinder Vicky', 'Jatin Goswami', 'Anil Rastogi', 'Akash Makhija', 'Aryan M Tiwari', 'Abhishek Ranjan', 'Nikhil Mehta', 'Amrendra Sharma', 'Zia Ahmed', 'Jaihind Kumar', 'Umesh Shukla', 'Veebhu Sharma']",['Zoya Hussain']
Barah by Barah,01:58:00,7.5,['Gaurav Madan'],"['Sunny Lahiri', 'Gaurav Madan']",['Drama'],2024-05-24,['Hindi'],"['Amdavaad Pictures', 'Last Joker Pictures']","['Aashit Chatterjee', 'Harish Khanna', 'Prithvi Singh', 'Akash Sinha', 'Gyanendra Tripathi']",['Geetika Vidya Ohlyan']
Troy the Bharat Putra,02:14:00,7.5,['Kumaar Aadarsh'],"['Kumaar Aadarsh', 'Anuja Jain', 'Shailendra Mishra']","['Animal Adventure', 'Adventure', 'Drama', 'Family']",2024-09-20,['Hindi'],"['UV Talkies', 'UVT Cinemas']","['Kumaar Aadarsh', 'Sanjeev Srivastava', 'Nitin Katare', 'Anup Bindal', 'Pravesh Kumar', 'Feroz Shaikh']","['Anuja Jain', 'Pia Roy', 'Anujja Jain', 'Pragati Jaiswal', 'Amisha Singh', 'Yashica Singh']"
Savi,02:06:00,6.2,['Abhinay Deo'],"['Aseem Arora', 'Abhinay Deo']","['Action', 'Crime', 'Drama', 'Romance', 'Thriller']",2024-05-31,['Hindi'],"['Vishesh Entertainment', 'Mishty Productions', 'Super Cassettes Industries Limited (T-Series)']","['Harshvardhan Rane', 'M.K. Raina', 'Raageshwari', 'Adrian Stretton', 'Assad Raja', 'Jyantino Albuquerque', 'Hadelin de Ponteves', 'Anthony St Clair Cadogan', 'Phil Dryden', 'Dan Gallier']","['Divya Khossla', 'Himanshi Choudhary', 'Supreet Bedi', 'Suki Chott']"
Chhota Bheem and the Curse of Damyaan,02:25:00,5.0,['Rajiv Chilaka'],"['Shridisha Dilip', 'Niraj Vikram']","['Desert Adventure', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy']",2024-05-31,['Hindi'],['Green Gold Studios'],"['Yagya Bhasin', 'Sanjay Bishnoi', 'Shaji Chaudhary', 'Daivik Dawar', 'Makrand Deshpande', 'Advik Jaiswal', 'Sumit Keshri', 'Anupam Kher', 'Kabir Sajid Shaikh']","['Navneet Kaur Dhillon', 'Aashriya Mishra', 'Swarna Pandey', 'Surbhi Tiwari']"
Dedh Bigha Zameen,01:40:00,6.9,['Pulkit'],['Pulkit'],"['Drama', 'Family']",2024-05-31,['Hindi'],"['Karma Media And Entertainment', 'T-Series Films']","['Prasanna Bisht', 'Pratik Gandhi', 'Hemant K Gaur', 'Deepesh Sumitra Jagdish', 'Durgesh Kumar', 'Mrityunjay Pandey', 'Vikas Sharma', 'Rishiraj Thorat']",['Khushali Kumar']
House of Lies,01:22:00,3.8,['Saumitra Singh'],['Abhi Raj Sharma'],['Mystery'],2024-05-31,['Hindi'],"['Kali Movies', 'Sebhariya Pictures']","['Ajitesh Gupta', 'Amit Gupta', 'Sanjay Kapoor', 'Hiten Paintal', 'Mir Sarwar', 'Girish Sharma', 'Mohit Singh']","['Taniya Chatterjee', 'Simran Suri', 'Smiley Suri']"
Munjya,02:03:00,6.3,['Aditya Sarpotdar'],"['Niren Bhatt', 'Yogesh Chandekar', 'Tushar Ajgaonkar']","['Comedy', 'Horror']",2024-06-07,['Hindi'],['Maddock Films'],"['Abhay Verma', 'Sathyaraj', 'Suhas Joshi', 'Taran Singh', 'Ayush Ulagadde', 'Ajay Purkar', 'Richard John Lovatt', 'Anay Kamat', 'Abhishek Banerjee']","['Sharvari', 'Mona Singh', 'Bhagyashree Limaye', 'Radhika Vidyasagar', 'Shruti Marathe', 'Khushi Hajare', 'Reema Chaudhary', 'Chandrakala']"
Blackout,02:02:00,6.2,['Devang Bhavsar'],"['Devang Bhavsar', 'Abbas Dalal', 'Hussain Dalal']","['Comedy', 'Thriller']",2024-06-07,['Hindi'],"['11:11 Productions', 'Jio Studios', 'The Fusion Media']","['Vikrant Massey', 'Sunil Grover', 'Jisshu Sengupta', 'Karan Sonawane', 'Saurabh Gadge', 'Prasad Oak', 'Anant Joshi', 'Sooraj Pops', 'Anil Kapoor']","['Mouni Roy', 'Ruhani Sharma', 'Chhaya Kadam', 'Kelly Dorji', 'Vishakha Tyagi']"
Malhar,01:43:00,6.9,['Vishal Kumbhar'],"['Vishal Kumbhar', 'Siddharth Salvi', 'Swapnil Sitaram']",['Drama'],2024-06-07,"['Hindi', 'Marathi']",['V Motion Pictures'],"['Shrinivas Pokale', 'Vinayak Potdar', 'Sharib Hashmi', 'Rishi Saxena', 'Mohammad Samad', 'Ravi Jhankal', 'Bhupesh Singh']","['Anjali Patil', 'Akshata Acharya', 'Shubhangi Bhujbal', 'Shruti Gholap']"
Bajrang Aur Ali,02:02:00,7.6,['Jaiveer'],"['Jaiveer', 'Amit Mishra']",['Drama'],2024-06-07,['Hindi'],['UtterUp'],"['Jaiveer', 'Jamie Lambe', 'Yugant Badri Pandey', 'Sachin Parikh', 'Gauri Shankar', 'Gaurishankar Singh']",['Riddhi Gupta']
Loop,01:42:00,6.7,"['Satish Ramamoorthy', 'Shreya Rastogi']","['Pratibha Misraa', 'Satish Ramamoorthy', 'Shreya Rastogi']","['Psychological Drama', 'Drama']",2024-06-11,['Hindi'],"['Riyers Films', 'Riyers Films']","['Akarsh Alagh', 'Satyajeet Puri', 'Akshay Neb', 'Anil Rastogi', 'Pradeep Gupta']","['Shreya Rastogi', 'Gunjan Jain', 'Amruta Ranjan', 'Simranjeet Kaur']"
Maharaj,02:11:00,6.5,['Siddharth P Malhotra'],"['Sneha Desai', 'Vipul Mehta', 'Kausar Munir']","['Docudrama', 'Legal Drama', 'Legal Thriller', 'Period Drama', 'Biography', 'Crime', 'Drama', 'History', 'Thriller']",2024-06-21,['Hindi'],['Yash Raj Films'],"['Junaid Khan', 'Jaideep Ahlawat', 'Viraf Patel', 'Sunil Gupta', 'Vaibhav Tatwawadi', 'Jay Upadhyay', 'Sandeep Mehta', 'Jamie Alter', 'Mark Bennington', 'Hemant Choudhary', 'Edward Sonnenblick']","['Shalini Pandey', 'Sharvari', 'Meher Vij', 'Ananya Agarwal', 'Priyal Gor', 'Sneha Desai', 'Jaya Ojha']"
Chandu Champion,02:22:00,7.8,['Kabir Khan'],"['Sumit Arora', 'Kabir Khan', 'Sudipto Sarkar']","['Docudrama', 'Water Sport', 'Action', 'Biography', 'Drama', 'History', 'Sport', 'War']",2024-06-14,['Hindi'],"['AA Films', 'Kabir Khan Films', 'Nadiadwala Grandson Entertainment']","['Kartik Aaryan', 'Vijay Raaz', 'Bhuvan Arora', 'Yashpal Sharma', 'Rajpal Naurang Yadav', 'Aniruddh Dave', 'Shreyas Talpade', 'Sonali Kulkarni', 'Ganesh Yadav', 'Hemant Choudhary', 'Brijendra Kala', 'Adonis Kapsalis', 'Nitin Bhajan']","['Sonali Kulkarni', 'Bhagyashri Borse', 'Hemangi Kavi', 'Olga Alexan', 'Gurpreet Bedi-Sondh']"
Hamare Baarah,02:28:00,7.3,['Kamal Chandra'],"['Rajan Agarwal', 'Kamal Chandra']",['Drama'],2024-06-21,['Hindi'],"['Radhika G Films', 'Newtech Media Entertainment']","['Rahul Bagga', 'Harish Chhabra', 'Manoj Joshi', 'Annu Kapoor', 'Parth Samthaan', 'Shaan Saxena', 'Paritosh Tripathi', 'Uday Vir Singh Yadav']","['Aditi Bhatpahri', 'Ankita Dwivedi', 'Farhana Fatema', 'Ashwini Kalsekar', 'Ishlin Prasad']"
Ishq Vishk Rebound,01:46:00,5.9,['Nipun Dharmadhikari'],"['Vaishali Naik', 'Vinay Chhawal', 'Ketan Pedgaonkar']","['Comedy', 'Drama']",2024-06-21,['Hindi'],['Tips Films Pvt. Ltd.'],"['Rohit Saraf', 'Jibraan Khan', 'Akarsh Khurana', 'Shataf Figar', 'Adhaar Khurana', 'Mohammad Farooq Bandhukia', 'Yash Bhukele', 'Chandu']","['Pashmina Roshan', 'Naila Grrewal', 'Supriya Pilgaonkar', 'Shilpa Tulaskar', 'Anita Kulkarni', 'Sheeba Chaddha', 'Benedicta', 'Akanshi Bhalla', 'Mohini Chaudhary']"
Jahangir National University,02:30:00,5.1,['Vinay Sharma'],['Vinay Sharma'],['Drama'],2024-06-21,['Hindi'],['Mahakaal Movies'],"['Siddharth Bodke', 'Ravi Kishan', 'Piyush Mishra', 'Vijay Raaz', 'Ashok Kumar Beniwal', 'Sidharth Bhardwaj', 'Savant Singh Premi', 'Umar Sharif', 'Atul Pandey', 'Veenay Bhasskar']","['Urvashi Rautela', 'Rashami Desai', 'Sonnalli Seygall', 'Jeniffer Piccinato', 'Shivjyoti Rajput', 'Bhagyashree Chauhan', 'Priya Bakshi']"
Sipahi,01:02:00,7.5,['Amit Bhadana'],['Amit Bhadana'],['Drama'],2024-06-25,['Hindi'],['Amit Bhadana Manoranjan'],"['Amit Bhadana', 'Dinesh Ahlawat', 'Vikas Mehta', 'Atul Kaushal', 'Aryan Raj']","['Baljinder Kaur', 'Asmi Tulsyan']"
Rautu Ka Raaz,01:54:00,6.3,['Anand Surapur'],"['Shariq Patel', 'Titiksha Singhal', 'Anand Surapur']","['Whodunnit', 'Crime', 'Drama', 'Mystery']",2024-06-28,['Hindi'],['Zee Studios'],"['Nawazuddin Siddiqui', 'Rajesh Kumar', 'Atul Tiwari', 'Vicky Dutt', 'Anoop Trevedi', 'Anil Rastogi', 'Kailash Kandwal', 'Sandeep Sharma', 'Gautam Sharma', 'Pratham Rathod', 'Parimal Aloke', 'Harshit Verma']","['Narayani Shastri', 'Samridhi Chandola', 'Riya Sisodia', 'Drishti Gaba', 'Kavita Virmani']"
Gili Gili Raat,01:33:00,5.7,['Punit Goyal'],"['Kshitij Roy', 'Vijay Pal Singh']","['Drama', 'Romance']",2024-06-28,['Hindi'],[],"['Raanveer Chahal', 'Sarosh Khurshid']","['Sarosh Khurshid', 'Prachi Lengare', 'Puja Singh', 'Sejuti Tarafder']"
Sharmajee Ki Beti,01:56:00,6.4,['Tahira Kashyap Khurrana'],['Tahira Kashyap Khurrana'],"['Comedy', 'Drama']",2024-06-28,['Hindi'],"['Applause Entertainment Ltd.', 'Ellipsis Entertainment']","['Sharib Hashmi', 'Ravjeet Singh', 'Sushant Ghadge', 'Vinayak Ketkar', 'Manuj Bhaskar', 'Lovekkush Kundu']","['Sakshi Tanwar', 'Divya Dutta', 'Saiyami Kher', 'Parvin Dabas', 'Vanshika Taparia', 'Arista Mehta', 'Nazneen Madan', 'Anjali Joshi']"
Wild Wild Punjab,01:49:00,6.2,['Simarpreet Singh'],"['Luv Ranjan', 'Harman Wadala', 'Sandeep Jain']","['Comedy', 'Romance']",2024-07-10,['Hindi'],"['Luv Films', 'T-Series']","['Varun Sharma', 'Sunny Singh', 'Jassie Gill', 'Rajesh Sharma', 'Gopal Datt', 'Samuel John', 'Ravi Bhushan', 'Sukhbeer Pal Kaur', 'Suraj Singh', 'Manish Tyagi', 'Subha Rajput', 'Satta Dhillon']","['Patralekhaa Paul', 'Ishita Raj', 'Anjum Batra', 'Asheema Vardaan', 'Rekha']"
Sarfira,02:35:00,7.0,['Sudha Kongara'],"['Sudha Kongara', 'Pooja Tolani', 'Shalini Ushadevi']",['Drama'],2024-07-12,['Hindi'],"['2D Entertainment', 'Abundantia Entertainment', 'Cape of Good Films']","['Akshay Kumar', 'Paresh Rawal', 'Seema Biswas', 'R. Sarathkumar', 'Saurabh Goyal', 'Krishnakumar Balasubramanian', 'Anil Charanjeett', 'Prakash Belawadi', 'Dan Dhanoa', 'Jay Upadhyay', 'Rahul Vohra', 'Suriya', 'Raj Jadon', 'Bhavin K Hirani', 'Rishi Gambhir', 'Aman Kanojia']","['Radhika Madan', 'Iravati Harshe']"
Kakuda,01:56:00,5.3,['Aditya Sarpotdar'],"['Avinash Dwivedi', 'Chirag Garg']","['Comedy', 'Horror']",2024-07-12,['Hindi'],"['Absolute Productions', 'RSVP']","['Riteish Deshmukh', 'Sonakshi Sinha', 'Saqib Saleem', 'Aasif Khan', 'Arun Dubey', 'Suraj Raj Madhwani', 'Garrvil Mohan', 'Ravi Ranjan', 'Hemant Singh', 'Sachin Viddrrohi']",[]
Bad Newz,02:22:00,4.8,['Anand Tiwari'],"['Tarun Dudeja', 'Ishita Moitra']","['Romantic Comedy', 'Comedy', 'Romance']",2024-07-19,['Hindi'],"['Dharma Productions', 'Leo Media Collective', 'Nagaada Film Studio']","['Vicky Kaushal', 'Ammy Virk', 'Faisal Rashid', 'Deepak Anand', 'Harnek Raj Aulakh', 'Mahabir Bhullar', 'Naveen Kaushik', 'Khayali Saharan', 'Shayank Shukla', 'Guneet Singh Sodhi', 'Kamlesh Sharma']","['Triptii Dimri', 'Neha Dhupia', 'Sheeba Chaddha', 'Ananya Panday', 'Neha Sharma', 'Vijaylaxmi Singh', 'Rachna Vasavada']"
Accident or Conspiracy: Godhra,02:13:00,7.5,['M.K. Shivaaksh'],['M.K. Shivaaksh'],"['Crime', 'Drama', 'History']",2024-07-19,['Hindi'],"['Altair Media', 'Artverse Studio', 'Om Trinetra Films']","['Ranvir Shorey', 'Manoj Joshi', 'Rajeev Soorti', 'M.K. Shivaaksh', 'Satyam Singh Ghoshi', 'Keyur Bhangade', 'Mitesh Bhavsar', 'Monuj Borkotoky', 'Nilesh Chavan', 'Tarun Datta', 'Dinesh Jain']","['Hitu Kanodia', 'Denisha Ghumra', 'Akshita Namdev', 'Satyam Singh Ghoshi', 'Garima Agarwal', 'Prathibha Borde', 'Monika Chowdhury']"
The Heist,02:00:00,7.1,['Aditya Awandhe'],['Nikita Chaturrvedi Tishya'],"['Action', 'Comedy', 'Crime']",2024-07-19,"['Hindi', 'English']","['Liv Worldwide', 'PML']","['Siddhant Kapoor', 'Jagat Rawat', 'Kushal Awatarsing', 'Bhurtun Darich', 'Ryan Satyan Jeeawock', 'Amede Jean Nicles', 'Bernard Olivier', 'Pratyaksh Rajbhatt', 'Saurabh Saraswat', 'Michel Jean Tony', 'Fadil Vencapah']","['Suman Rao', 'Heerah Fateema Haadiyah']"
The U P Files,02:02:00,6.2,['Neeraj Sahai'],['Stanish Gill'],['Drama'],2024-07-26,['Hindi'],['Shree Ostwal Films'],"['Ali Asgar', 'Vidhyadhar Bane', 'Karan Chhabra', 'Anil George', 'Avtar Gill', 'Milind Gunaji', 'Manoj Joshi', 'Shahbaz Khan', 'Vaibhav Mathur', 'Parminder Paddal', 'Ashok Samarth', 'Parvez Shaikh', 'Vineet Sharma', 'Jugendra Singh']","['Poonam Dwivedi', 'Manjari Fadnnis', 'Akanksha Saini', 'Shraddha Upadhyay']"
Chalti Rahe Zindagi,01:40:00,6.6,['Aarti S. Bagdi'],"['Aarti S. Bagdi', 'Arun Bhutra', 'Shakir Khan']",['Drama'],2024-07-26,['Hindi'],['Lovely World Entertainment'],"['Seema Biswas', 'Siddhant Kapoor', 'Indraneil Sengupta', 'Rohit Khandelwal', 'Vaibhav Anand', 'Harsh Ghogalia']","['Manjari Fadnnis', 'Barkha Sengupta', 'Flora Jacob', 'Priyal Pandorwala', 'Anaya Shivan', 'Meira Sengupta']"
Main Mulayam Singh Yadav,02:00:00,3.8,['Suvendu Raj Ghosh'],['Rashid Iqbal'],['Biography'],2024-07-26,['Hindi'],"['Blotting Paper', 'Don Cinema', 'MS Films & Productions']","['Govind Namdeo', 'Mukesh Tiwari', 'Prakash Belawadi', 'Ranojoy Bishnu', 'Sayaji Shinde', 'Rajkumar Kanojia', 'Mimoh Chakraborty', 'Gopal Singh', 'Anupam Shyam', 'Ram Sujan Singh']","['Amyth Sethi', 'Supriya Karnik', 'Kiran Jhangiani', 'Suhani Biswas', 'Sana Amin Sheikh', 'Prerna Sethi Mandal', 'Zarina Wahab']"
Dead Dead Full Dead,01:50:00,6.6,['Pratul Gaikwad'],"['Abdul Aziz', 'Pratul Gaikwad']",['Mystery'],2024-07-28,"['Hindi', 'English']",[],"['Ashwin Mushran', 'Sachin Viddrrohi', 'Abhijeet Chavan', 'Yug Italiya']","['Swastika Mukherjee', 'Monica Chaudhary', 'Flora Jacob']"
Ulajh,02:30:00,6.0,['Sudhanshu Saria'],"['Parveez Shaikh', 'Sudhanshu Saria', 'Atika Chohan']","['Crime', 'Drama', 'Thriller']",2024-08-02,['Hindi'],"['Junglee Pictures', 'Zeal Z Entertainment services']","['Gulshan Devaiah', 'Roshan Mathew', 'Meiyang Chang', 'Adil Hussain', 'Rajesh Tailang', 'Jitendra Joshi', 'Rajendra Gupta', 'Alyy Khan', 'Rushad Rana', 'Vivek Madaan', 'Rajiv Hubert', 'Himanshu Malik']","['Janhvi Kapoor', 'Sakshi Tanwar', 'Natasha Rastogi', 'Bhavna Singh', 'Swastika Chakraborty']"
Auron Mein Kahan DumTha,02:30:00,6.6,['Neeraj Pandey'],['Neeraj Pandey'],"['Action', 'Crime', 'Drama', 'Romance']",2024-08-02,['Hindi'],"['NH Studioz', 'Friday Filmworks']","['Ajay Devgn', 'Jimmy Shergill', 'Shantanu Maheshwari', 'Sayaji Shinde', 'Jay Upadhyay', 'Hardik Soni', 'Shahrukh Sadri', 'Jiten Lalwani', 'Meherzan Mazda', 'Kushal Shah', 'Velji Nakar', 'Vaibhav Sharma', 'Ahmed Khan', 'Gaurav Rai', 'Sagar Tugnait']","['Tabu', 'Prathibha Borde']"
Bardovi,02:30:00,7.8,['Karan Chavan'],['Karan Chavan'],['Drama'],2024-08-02,['Hindi'],['Satori Entertainment Corp.'],"['Rajendra Bhambhulkar', 'Chittaranjan Giri', 'Virat Madke', 'Lohar Ashish Prakash', 'Neel Sheth', 'Rukayya Shiledar']","['Shriya Athnikar', 'Chhaya Kadam', 'Gayatri Yamkar']"
